site_id,K2_20,Date,Time,Temp,SpCond,DO
GB,57.43,8/13/2003,11:15:00,18.42,139.3,9.06
GB,57.43,8/13/2003,11:20:00,18.41,139.3,9.01
GB,57.43,8/13/2003,11:25:00,18.43,139.4,8.98
GB,57.43,8/13/2003,11:30:00,18.49,139.4,9.02
GB,57.43,8/13/2003,11:35:00,18.55,139.5,8.91
GB,57.43,8/13/2003,11:40:00,18.57,139.5,8.82
GB,57.43,8/13/2003,11:45:00,18.56,139.4,8.83
GB,57.43,8/13/2003,11:50:00,18.58,139.4,8.82
GB,57.43,8/13/2003,11:55:00,18.6,139.3,8.89
GB,57.43,8/13/2003,12:00:00,18.61,139.3,8.87
GB,57.43,8/13/2003,12:05:00,18.64,139.4,8.87
GB,57.43,8/13/2003,12:10:00,18.67,139.3,8.85
GB,57.43,8/13/2003,12:15:00,18.7,139.3,8.8
GB,57.43,8/13/2003,12:20:00,21.35,0,8.81
GB,57.43,8/13/2003,12:25:00,18.79,136.4,8.53
GB,57.43,8/13/2003,12:30:00,18.81,136.3,8.55
GB,57.43,8/13/2003,12:35:00,18.83,136.1,8.4
GB,57.43,8/13/2003,12:40:00,18.83,136.3,8.32
GB,57.43,8/13/2003,12:45:00,18.83,136.1,8.43
GB,57.43,8/13/2003,12:50:00,18.84,136.3,8.45
GB,57.43,8/13/2003,12:55:00,18.85,136.3,8.38
GB,57.43,8/13/2003,13:00:00,18.87,136,8.44
GB,57.43,8/13/2003,13:05:00,18.88,136,8.46
GB,57.43,8/13/2003,13:10:00,18.9,135.9,8.45
GB,57.43,8/13/2003,13:15:00,18.91,135.9,8.58
GB,57.43,8/13/2003,13:20:00,18.93,135.8,8.59
GB,57.43,8/13/2003,13:25:00,18.94,135.8,8.52
GB,57.43,8/13/2003,13:30:00,18.95,135.8,8.45
GB,57.43,8/13/2003,13:35:00,18.95,135.6,8.46
GB,57.43,8/13/2003,13:40:00,18.95,135.8,8.44
GB,57.43,8/13/2003,13:45:00,18.95,135.9,8.4
